,Water_(g),Lipid_Tot_(g),Carbohydrt_(g),A,0,1
5406,62.25,14.38,0.0,A,LAMB,"['AUS', 'IMP', 'FRSH', 'SHLDR', 'BLADE', 'LN', '1/8""FAT', 'CKD', 'BRLD']"
5407,64.25,15.93,0.0,A,GAME,"['MEAT', 'BISON', 'GROUND', 'RAW']"
5408,59.53,15.13,0.0,A,GAME,"['MEAT', 'BISON', 'GROUND', 'CKD', 'PAN-BROILED']"
5409,65.1,5.65,0.0,A,GAME,"['MEAT', 'BISON', 'TOP', 'SIRLOIN', 'LN', '1""', 'STEAK', 'CKD', 'BRLD']"
5410,60.48,5.43,0.0,A,GAME,"['MEAT', 'BISON', 'CHUCK', 'SHLDR', 'CLOD', 'LN', '3-5', 'LB', 'RST', 'CKD', 'BRSD']"
5411,75.5,3.15,0.0,A,GAME,"['MEAT', 'BISON', 'CHUCK', 'SHLDR', 'CLOD', 'LN', '3-5', 'LB', 'RST', 'RAW']"
5412,64.48,5.67,0.0,A,GAME,"['MEAT', 'BISON', 'RIBEYE', 'LN', '1""', 'STEAK', 'CKD', 'BRLD']"
5413,65.08,4.96,0.0,A,GAME,"['MEAT', 'BISON', 'TOP', 'RND', 'LN', '1""', 'STEAK', 'CKD', 'BRLD']"
5414,73.95,2.43,0.0,A,GAME,"['MEAT', 'BISON', 'TOP', 'RND', 'LN', '1""', 'STEAK', 'RAW']"
5415,68.84,8.82,0.0,A,GAME,"['MEAT', 'ELK', 'GROUND', 'RAW']"
5416,64.14,8.74,0.0,A,GAME,"['MEAT', 'ELK', 'GROUND', 'CKD', 'PAN-BROILED']"
5417,64.5,3.84,0.0,A,GAME,"['MEAT', 'ELK', 'LOIN', 'LN', 'CKD', 'BRLD']"
5418,65.43,2.64,0.0,A,GAME,"['MEAT', 'ELK', 'RND', 'LN', 'CKD', 'BRLD']"
5419,64.93,3.41,0.0,A,GAME,"['MEAT', 'ELK', 'TENDERLOIN', 'LN', 'CKD', 'BRLD']"
5420,71.15,7.13,0.0,A,GAME,"['MEAT', 'DEER', 'GROUND', 'RAW']"
5421,64.23,8.22,0.0,A,GAME,"['MEAT', 'DEER', 'GROUND', 'CKD', 'PAN-BROILED']"
5422,67.07,2.38,0.0,A,GAME,"['MEAT', 'DEER', 'LOIN', 'LN', '1""', 'STEAK', 'CKD', 'BRLD']"
5423,59.78,3.95,0.0,A,GAME,"['MEAT', 'DEER', 'SHLDR', 'CLOD', 'LN', '3-5', 'LB', 'RST', 'CKD', 'BRSD']"
5424,67.2,2.35,0.0,A,GAME,"['MEAT', 'DEER', 'TENDERLOIN', 'LN', '0.5-1', 'LB', 'RST', 'CKD', 'BRLD']"
5425,66.1,1.92,0.0,A,GAME,"['MEAT', 'DEER', 'TOP', 'RND', 'LN', '1""', 'STEAK', 'CKD', 'BRLD']"
5426,74.7,4.65,0.0,A,VEAL,"['AUSTRALIAN', 'SHANK', 'FORE', 'BONE-IN', 'LN', 'RAW']"
5427,72.57,7.42,0.0,A,VEAL,"['AUSTRALIAN', 'SHANK', 'FORE', 'BONE-IN', 'LN', '&', 'FAT', 'RAW']"
5428,75.38,4.47,0.0,A,VEAL,"['AUSTRALIAN', 'SHANK', 'HIND', 'BONE-IN', 'LN', 'RAW']"
5429,73.25,7.2,0.0,A,VEAL,"['AUSTRALIAN', 'SHANK', 'HIND', 'BONE-IN', 'LN', '&', 'FAT']"
5430,61.46,20.71,0.0,A,LAMB,"['AUSTRALIAN', 'GROUND', '85%', 'LN', '/', '15%', 'FAT', 'RAW']"
5431,29.57,62.44,0.0,A,LAMB,"['NZ', 'IMP', 'INTERMUSCULAR', 'FAT', 'CKD']"
5432,25.36,68.53,1.26,A,LAMB,"['NZ', 'IMP', 'INTERMUSCULAR', 'FAT', 'RAW']"
5433,19.17,76.16,0.55,A,LAMB,"['NZ', 'IMP', 'SUBCUTANEOUS', 'FAT', 'RAW']"
5434,73.11,10.92,0.0,A,LAMB,"['NZ', 'IMP', 'BRAINS', 'CKD', 'SOAKED', '&', 'FRIED']"
5435,78.52,8.03,0.0,A,LAMB,"['NZ', 'IMP', 'BRAINS', 'RAW']"
5436,54.77,17.53,0.0,A,LAMB,"['NZ', 'IMP', 'BREAST', 'LN', 'CKD', 'BRSD']"
5437,71.69,7.98,1.02,A,LAMB,"['NZ', 'IMP', 'BREAST', 'LN', 'RAW']"
5438,70.59,5.27,0.0,A,LAMB,"['NZ', 'IMP', 'CHUMP', 'BNLESS', 'LN', 'CKD', 'FAST', 'RSTD']"
5439,21.77,72.28,0.62,A,LAMB,"['NZ', 'IMP', 'SUBCUTANEOUS', 'FAT', 'CKD']"
5440,74.58,3.83,0.0,A,LAMB,"['NZ', 'IMP', 'CHUMP', 'BNLESS', 'LN', 'RAW']"
5441,75.07,3.56,0.18,A,LAMB,"['NZ', 'IMP', 'KIDNEY', 'CKD', 'SOAKED', '&', 'FRIED']"
5442,60.09,13.6,0.0,A,LAMB,"['NZ', 'IMP', 'FLAP', 'BNLESS', 'LN', 'CKD', 'BRSD']"
5443,69.49,10.31,0.0,A,LAMB,"['NZ', 'IMP', 'FLAP', 'BNLESS', 'LN', 'RAW']"
5444,81.02,2.54,0.03,A,LAMB,"['NZ', 'IMP', 'KIDNEY', 'RAW']"
5445,64.6,6.56,1.48,A,LAMB,"['NZ', 'IMP', 'LIVER', 'CKD', 'SOAKED', '&', 'FRIED']"
5446,70.8,4.92,2.22,A,LAMB,"['NZ', 'IMP', 'LIVER', 'RAW']"
5447,66.59,11.34,0.0,A,LAMB,"['NZ', 'IMP', 'GROUND', 'LAMB', 'CKD', 'BRSD']"
5448,69.29,12.41,0.0,A,LAMB,"['NZ', 'IMP', 'GROUND', 'LAMB', 'RAW']"
5449,66.65,6.21,0.0,A,LAMB,"['NZ', 'IMP', 'HEART', 'CKD', 'SOAKED', '&', 'SIMMRD']"
5450,77.84,3.68,0.0,A,LAMB,"['NZ', 'IMP', 'HEART', 'RAW']"
5451,72.6,6.61,0.0,A,LAMB,"['NZ', 'IMP', 'SWEETBREAD', 'CKD', 'SOAKED', '&', 'SIMMRD']"
5452,85.78,3.16,0.0,A,LAMB,"['NZ', 'IMP', 'SWEETBREAD', 'RAW']"
5453,73.96,4.56,0.0,A,LAMB,"['NZ', 'IMP', 'TESTES', 'CKD', 'SOAKED', '&', 'FRIED']"
5454,85.01,2.38,0.14,A,LAMB,"['NZ', 'IMP', 'TESTES', 'RAW']"
5455,58.74,22.04,0.86,A,LAMB,"['NZ', 'IMP', 'TONGUE', '-', 'SWISS', 'CUT', 'CKD', 'SOAKED', '&', 'SIMMRD']"
5456,66.5,18.61,0.0,A,LAMB,"['NZ', 'IMP', 'TONGUE', '-', 'SWISS', 'CUT', 'RAW']"
5457,68.14,6.44,0.0,A,LAMB,"['NZ', 'IMP', 'TUNNEL-BNED', 'LG', 'CHMP', 'OFF', 'SHNK', 'OFF', 'LN', 'CKD', 'SLW', 'RSTD']"
5458,74.43,4.09,0.0,A,LAMB,"['NZ', 'IMP', 'TUNNEL-BONED', 'LEG', 'CHUMP', 'OFF', 'SHANK', 'OFF', 'LN', 'RAW']"
5459,55.36,14.56,0.0,A,LAMB,"['NZ', 'IMP', 'SQUARE-CUT', 'SHLDR', 'CHOPS', 'LN', 'CKD', 'BRSD']"
5460,71.98,9.08,0.0,A,LAMB,"['NZ', 'IMP', 'SQUARE-CUT', 'SHLDR', 'CHOPS', 'LN', 'RAW']"
5461,66.43,4.81,0.0,A,LAMB,"['NZ', 'IMP', 'TENDERLOIN', 'LN', 'CKD', 'FAST', 'FRIED']"
5462,74.35,3.81,0.0,A,LAMB,"['NZ', 'IMP', 'TENDERLOIN', 'LN', 'RAW']"
5463,68.3,6.7,0.0,A,LAMB,"['NZ', 'IMP', 'LOIN', 'SADDLE', 'LN', 'CKD', 'FAST', 'RSTD']"
5464,73.5,5.32,0.0,A,LAMB,"['NZ', 'IMP', 'LOIN', 'SADDLE', 'LN', 'RAW']"
5465,66.69,4.49,0.0,A,LAMB,"['NZ', 'IMP', 'LOIN', 'BNLESS', 'LN', 'CKD', 'FAST', 'RSTD']"
5466,74.54,3.77,0.0,A,LAMB,"['NZ', 'IMP', 'LOIN', 'BNLESS', 'LN', 'RAW']"
5467,60.93,7.37,0.0,A,LAMB,"['NZ', 'IMP', 'HIND-SHANK', 'LN', 'CKD', 'BRSD']"
5468,74.49,3.35,0.73,A,LAMB,"['NZ', 'IMP', 'HIND-SHANK', 'LN', 'RAW']"
5469,72.43,7.97,0.0,A,LAMB,"['NZ', 'IMP', 'NECK', 'CHOPS', 'LN', 'RAW']"
5470,54.64,15.36,0.0,A,LAMB,"['NZ', 'IMP', 'NECK', 'CHOPS', 'LN', 'CKD', 'BRSD']"
5471,64.22,10.91,0.0,A,LAMB,"['NZ', 'IMP', 'NETTED', 'SHLDR', 'ROLLED', 'BNLESS', 'LN', 'CKD', 'SLOW', 'RSTD']"
5472,72.9,6.88,0.0,A,LAMB,"['NZ', 'IMP', 'NETTED', 'SHLDR', 'ROLLED', 'BNLESS', 'LN', 'RAW']"
5473,66.7,8.38,0.0,A,LAMB,"['NZ', 'IMP', 'RACK', '-', 'FULLY', 'FRENCHED', 'LN', 'CKD', 'FAST', 'RSTD']"
5474,71.67,7.12,0.0,A,LAMB,"['NZ', 'IMP', 'RACK', '-', 'FULLY', 'FRENCHED', 'LN', 'RAW']"
5475,60.21,10.7,0.41,A,LAMB,"['NZ', 'IMP', 'LOIN', 'CHOP', 'LN', 'CKD', 'FAST', 'FRIED']"
5476,64.96,10.13,0.0,A,LAMB,"['NZ', 'IMP', 'SQUARE-CUT', 'SHLDR', 'LN', 'CKD', 'SLOW', 'RSTD']"
5477,67.56,6.35,0.0,A,LAMB,"['NZ', 'IMP', 'LEG', 'CHOP/STEAK', 'BONE-IN', 'LN', 'CKD', 'FAST', 'FRIED']"
5478,47.82,32.63,0.14,A,LAMB,"['NZ', 'IMP', 'FLAP', 'BNLESS', 'LN', '&', 'FAT', 'CKD', 'BRSD']"
5479,54.39,30.14,0.27,A,LAMB,"['NZ', 'IMP', 'FLAP', 'BNLESS', 'LN', '&', 'FAT', 'RAW']"
5480,56.87,14.22,0.04,A,LAMB,"['NZ', 'IMP', 'HIND-SHANK', 'LN', '&', 'FAT', 'CKD', 'BRSD']"
5481,67.84,12.12,0.73,A,LAMB,"['NZ', 'IMP', 'HIND-SHANK', 'LN', '&', 'FAT', 'RAW']"
5482,63.15,12.76,0.04,A,LAMB,"['NZ', 'IMP', 'LEG', 'CHOP/STEAK', 'BONE-IN', 'LN', '&', 'FAT', 'CKD', 'FAST', 'FRIED']"
5483,50.12,27.11,0.41,A,LAMB,"['NZ', 'IMP', 'LOIN', 'CHOP', 'LN', '&', 'FAT', 'CKD', 'FAST', 'FRIED']"
5484,58.22,20.98,0.1,A,LAMB,"['NZ', 'IMP', 'LOIN', 'SADDLE', 'LN', '&', 'FAT', 'CKD', 'FAST', 'RSTD']"
5485,60.04,22.9,0.2,A,LAMB,"['NZ', 'IMP', 'LOIN', 'SADDLE', 'LN', '&', 'FAT', 'RAW']"
5486,66.64,4.57,0.0,A,LAMB,"['NZ', 'IMP', 'LOIN', 'BNLESS', 'LN', '&', 'FAT', 'CKD', 'FAST', 'RSTD']"
5487,74.37,3.99,0.0,A,LAMB,"['NZ', 'IMP', 'LOIN', 'BNLESS', 'LN', '&', 'FAT', 'RAW']"
5488,51.28,21.43,0.03,A,LAMB,"['NZ', 'IMP', 'NECK', 'CHOPS', 'LN', '&', 'FAT', 'CKD', 'BRSD']"
5489,64.7,17.9,0.14,A,LAMB,"['NZ', 'IMP', 'NECK', 'CHOPS', 'LN', '&', 'FAT', 'RAW']"
5490,56.45,22.33,0.05,A,LAMB,"['NZ', 'IMP', 'NETTED', 'SHLDR', 'ROLLED', 'BNLESS', 'L', '&', 'F', 'CKD', 'SLOW', 'RSTD']"
5491,62.47,20.36,0.2,A,LAMB,"['NZ', 'IMP', 'NETTED', 'SHLDR', 'ROLLED', 'BNLESS', 'LN', '&', 'FAT', 'RAW']"
5492,50.14,23.86,0.05,A,LAMB,"['NZ', 'IMP', 'SQUARE-CUT', 'SHLDR', 'CHOPS', 'LN', '&', 'FAT', 'CKD', 'BRSD']"
5493,61.18,22.84,0.23,A,LAMB,"['NZ', 'IMP', 'SQUARE-CUT', 'SHLDR', 'CHOPS', 'LN', '&', 'FAT', 'RAW']"
5494,55.93,23.39,0.03,A,LAMB,"['NZ', 'IMP', 'SQUARE-CUT', 'SHLDR', 'LN', '&', 'FAT', 'CKD', 'SLOW', 'RSTD']"
5495,66.31,5.0,0.0,A,LAMB,"['NZ', 'IMP', 'TENDERLOIN', 'LN', '&', 'FAT', 'CKD', 'FAST', 'FRIED']"
5496,64.76,11.2,0.01,A,LAMB,"['NZ', 'IMP', 'RACK', '-', 'FULLY', 'FRENCHED', 'LN', '&', 'FAT', 'CKD', 'FAST', 'RSTD']"
5497,69.53,9.96,0.05,A,LAMB,"['NZ', 'IMP', 'RACK', '-', 'FULLY', 'FRENCHED', 'LN', '&', 'FAT', 'RAW']"
5498,63.79,12.68,0.03,A,LAMB,"['NZ', 'IMP', 'TUN-BND', 'LG', 'CHMP', 'OFF', 'SHNK', 'OFF', 'L', '&', 'F', 'CKD', 'SL', 'RSTD']"
5499,74.43,4.09,0.0,A,LAMB,"['NZ', 'IMP', 'TUNNEL-BONED', 'LG', 'CHUMP', 'OFF', 'SHANK', 'OFF', 'LN', '&', 'FAT', 'RAW']"
5500,74.04,4.22,0.01,A,LAMB,"['NZ', 'IMP', 'TENDERLOIN', 'LN', '&', 'FAT', 'RAW']"
5501,59.87,11.78,1.51,A,VEAL,"['GROUND', 'CKD', 'PAN-FRIED']"
5502,65.32,2.63,0.0,A,VEAL,"['LEG', 'TOP', 'RND', 'CAP', 'OFF', 'CUTLET', 'BNLESS', 'CKD', 'GRILLED']"
5503,75.2,2.07,0.0,A,VEAL,"['LEG', 'TOP', 'RND', 'CAP', 'OFF', 'CUTLET', 'BNLESS', 'RAW']"
5504,64.65,4.44,0.07,A,VEAL,"['LOIN', 'CHOP', 'LN', 'CKD', 'GRILLED']"
5505,77.96,1.64,0.0,A,VEAL,"['SHANK', 'LN', 'RAW']"
5506,63.28,4.51,0.0,A,VEAL,"['FORESHANK', 'OSSO', 'BUCO', 'LN', 'CKD', 'BRSD']"
5507,66.44,5.53,0.0,A,VEAL,"['SHLDR', 'BLADE', 'CHOP', 'LN', 'CKD', 'GRILLED']"
5508,38.19,51.6,0.89,A,VEAL,"['EXTERNAL', 'FAT', 'ONLY', 'RAW']"
5509,32.69,53.23,0.0,A,VEAL,"['EXTERNAL', 'FAT', 'ONLY', 'CKD']"
5510,44.47,43.75,0.0,A,VEAL,"['SEAM', 'FAT', 'ONLY', 'RAW']"
5511,35.99,50.17,2.11,A,VEAL,"['SEAM', 'FAT', 'ONLY', 'CKD']"
5512,75.85,3.3,0.0,A,VEAL,"['SHANK', 'LN', '&', 'FAT', 'RAW']"
5513,61.3,7.77,0.11,A,VEAL,"['FORESHANK', 'OSSO', 'BUCO', 'LN', '&', 'FAT', 'CKD', 'BRSD']"
5514,61.41,9.48,0.16,A,VEAL,"['LOIN', 'CHOP', 'LN', '&', 'FAT', 'CKD', 'GRILLED']"
5515,62.96,10.57,0.15,A,VEAL,"['SHLDR', 'BLADE', 'CHOP', 'LN', '&', 'FAT', 'CKD', 'GRILLED']"
5516,33.81,1.32,52.38,A,BAGEL,"['PLN', 'TSTD', '', 'ENR', 'W/CA', 'PROP(INCLUDE', 'ONION', 'POPPY', 'SESAME)']"
5517,28.27,1.72,57.11,A,BAGELS,"['PLN', 'TSTD', 'ENR', 'W/CA', 'PROP', '(INCLUDES', 'ONION', 'POPPY', 'SESAME)']"
5518,32.7,2.1,53.0,A,BAGELS,['EGG']
5519,32.0,1.7,55.2,A,BAGELS,['CINNAMON-RAISIN']
5520,26.9,1.8,59.3,A,BAGELS,"['CINNAMON-RAISIN', 'TSTD']"
5521,32.9,1.2,53.3,A,BAGELS,"['OAT', 'BRAN']"
5522,26.7,11.03,53.87,A,BISCUITS,"['PLN', 'OR', 'BTTRMLK', 'FRZ', 'BKD']"
5523,9.2,15.4,63.4,A,BISCUITS,"['PLN', 'OR', 'BTTRMLK', 'DRY', 'MIX']"
5524,28.9,12.1,48.4,A,BISCUITS,"['PLN', 'OR', 'BTTRMLK', 'DRY', 'MIX', 'PREP']"
5525,37.76,7.83,43.7,A,BISCUITS,"['PLN', 'OR', 'BTTRMLK', 'REFR', 'DOUGH', 'LOWER', 'FAT']"
5526,27.7,5.2,55.4,A,BISCUITS,"['PLN', 'OR', 'BTTRMLK', 'REFR', 'DOUGH', 'LOWER', 'FAT', 'BKD']"
5527,33.15,10.58,46.32,A,BISCUIT,"['', 'PLN', 'OR', 'BUTMLK', '', 'REFRI', 'DOUGH', '', 'HIGHER', 'FAT']"
5528,29.69,11.22,49.05,A,BISCUITS,"['PLN', 'OR', 'BTTRMLK', 'REFR', 'DOUGH', 'HIGHER', 'FAT', 'BKD']"
5529,28.9,16.3,44.6,A,BISCUITS,"['PLN', 'OR', 'BTTRMLK', 'PREP', 'FROM', 'RECIPE']"
5530,37.8,5.6,47.4,A,BISCUITS,"['MXD', 'GRAIN', 'REFR', 'DOUGH']"
5531,29.2,10.5,54.6,A,BREAD,"['BANANA', 'PREP', 'FROM', 'RECIPE', 'MADE', 'W/MARGARINE']"
5532,47.2,1.5,43.3,A,BREAD,"['BOSTON', 'BROWN', 'CANNED']"
5533,7.8,12.2,69.5,A,BREAD,"['CORNBREAD', 'DRY', 'MIX', 'ENR', '(INCL', 'CORN', 'MUFFIN', 'MIX)']"
5534,27.11,9.58,54.46,A,BREAD,"['CORNBREAD', 'DRY', 'MIX', 'PREP', 'W/', '2%', 'MILK', '80%', 'MARGARINE', '&', 'EGGS']"
5535,39.1,7.1,43.5,A,BREAD,"['CORNBREAD', 'PREP', 'FROM', 'RECIPE', 'MADE', 'W/LOFAT', '(2%)', 'MILK']"
5536,35.8,3.9,49.5,A,BREAD,['CRACKED-WHEAT']
5537,34.7,6.0,47.8,A,BREAD,['EGG']
5538,28.3,6.6,52.6,A,BREAD,"['EGG', 'TOASTED']"
5539,33.0,2.42,51.88,A,Bread,"['', 'french']"
5540,20.61,2.14,61.93,A,BREAD,"['', 'FRENCH', 'OR', 'VIENNA', '', 'TSTD', '(IND', 'SOURDOUGH)']"
5541,30.1,5.0,56.0,A,BREAD,"['IRISH', 'SODA', 'PREP', 'FROM', 'RECIPE']"
5542,35.7,3.5,50.0,A,BREAD,['ITALIAN']
5543,36.94,4.23,43.34,A,BREAD,"['MULTI-GRAIN', '(INCLUDES', 'WHOLE-GRAIN)']"
5544,31.46,4.6,47.11,A,BREAD,"['MULTI-GRAIN', 'TSTD', '(INCLUDES', 'WHOLE-GRAIN)']"
5545,44.0,4.4,39.8,A,BREAD,"['OAT', 'BRAN']"
5546,38.5,4.8,43.7,A,BREAD,"['OAT', 'BRAN', 'TOASTED']"
5547,36.7,4.4,48.5,A,BREAD,['OATMEAL']
5548,31.2,4.8,52.7,A,BREAD,"['OATMEAL', 'TOASTED']"
5549,32.1,1.2,55.7,A,BREAD,"['PITA', 'WHITE', 'ENRICHED']"
5550,30.6,2.6,55.0,A,BREAD,"['PITA', 'WHOLE-WHEAT']"
5551,40.0,2.2,43.8,A,BREAD,"['PROT', '(INCL', 'GLUTEN)']"
5552,37.9,3.1,47.5,A,BREAD,['PUMPERNICKEL']
5553,31.8,3.4,52.2,A,BREAD,"['PUMPERNICKEL', 'TSTD']"
5554,33.6,4.4,52.3,A,BREAD,"['RAISIN', 'ENRICHED']"
5555,27.8,4.8,56.9,A,BREAD,"['RAISIN', 'TSTD', 'ENR']"
5556,46.0,3.2,41.3,A,BREAD,"['RED-CAL', 'OAT', 'BRAN']"
5557,35.7,3.8,49.2,A,BREAD,"['RED-CAL', 'OAT', 'BRAN', 'TSTD']"
5558,44.0,3.5,43.3,A,BREAD,"['RED-CAL', 'OATMEAL']"
5559,46.0,2.9,40.5,A,BREAD,"['REDUCED-CALORIE', 'RYE']"
5560,39.6,2.92,42.47,A,BREAD,"['RED-CAL', 'WHEAT']"
5561,42.9,2.5,44.3,A,BREAD,"['RED-CAL', 'WHITE']"
5562,41.0,4.6,43.5,A,BREAD,"['RICE', 'BRAN']"
5563,37.3,3.3,48.3,A,BREAD,['RYE']
5564,31.0,3.6,53.1,A,BREAD,"['RYE', 'TOASTED']"
5565,35.2,3.24,48.68,A,BREAD,['WHEAT']
5566,24.23,4.27,55.77,A,BREAD,"['', 'WHEAT', '', 'TSTD']"
5567,37.8,3.4,47.8,A,BREAD,"['WHEAT', 'BRAN']"
5568,37.1,2.9,48.3,A,BREAD,"['WHEAT', 'GERM']"
5569,36.42,3.33,49.42,A,BREAD,"['WHITE', 'COMMLY', 'PREP', '(INCL', 'SOFT', 'BREAD', 'CRUMBS)']"
5570,30.4,4.0,54.4,A,BREAD,"['WHITE', 'COMMLY', 'PREP', 'TSTD']"
5571,34.8,2.6,53.6,A,BREAD,"['WHITE', 'PREP', 'FROM', 'RECIPE', 'MADE', 'W/NONFAT', 'DRY', 'MILK']"
5572,35.3,5.7,49.6,A,BREAD,"['WHITE', 'PREP', 'FROM', 'RECIPE', 'MADE', 'W/LOFAT', '(2%)', 'MILK']"
5573,39.01,3.5,42.71,A,BREAD,"['WHOLE-WHEAT', 'COMM.', 'PREPARED']"
5574,24.25,4.07,51.16,A,BREAD,"['', 'WHOLE-WHEAT', '', 'COMMER', 'PREP', '', 'TOASTED']"
5575,32.7,5.4,51.4,A,BREAD,"['WHOLE-WHEAT', 'PREP', 'FROM', 'RECIPE']"
5576,26.0,5.9,56.4,A,BREAD,"['WHOLE-WHEAT', 'PREP', 'FROM', 'RECIPE', 'TSTD']"
5577,6.51,5.3,71.98,A,BREAD,"['CRUMBS', 'DRY', 'GRATED', 'PLN']"
5578,6.1,9.5,68.4,A,BREAD,"['STICKS', 'PLAIN']"
5579,4.2,3.4,76.2,A,BREAD,"['STUFFING', 'BREAD', 'DRY', 'MIX']"
5580,64.8,8.6,21.7,A,BREAD,"['STUFFING', 'BREAD', 'DRY', 'MIX', 'PREP']"
5581,4.6,4.2,76.7,A,BREAD,"['STUFFING', 'CORNBREAD', 'DRY', 'MIX']"
5582,64.9,8.8,21.9,A,BREAD,"['STUFFING', 'CORNBREAD', 'DRY', 'MIX', 'PREP']"
5583,33.2,0.8,57.8,A,CAKE,"['ANGELFOOD', 'COMMLY', 'PREP']"
5584,3.73,0.27,86.13,A,CAKE,"['MIX', 'ANGELFOOD', 'DRY']"
5585,32.9,0.3,58.7,A,CAKE,"['ANGELFOOD', 'DRY', 'MIX', 'PREP']"
5586,45.4,8.5,42.9,A,CAKE,"['BOSTON', 'CRM', 'PIE', 'COMMLY', 'PREP']"
5587,3.6,9.8,79.2,A,CAKE,"['CARROT', 'DRY', 'MIX', 'PUDDING-TYPE']"
5588,46.1,12.5,38.0,A,CAKE,"['CHERRY', 'FUDGE', 'W/CHOC', 'FRSTNG']"
5589,22.04,20.05,52.84,A,CAKE,"['CHOC', 'COMMLY', 'PREP', 'W/', 'CHOC', 'FRSTNG', 'IN-STORE', 'BAKERY']"
5590,3.9,8.14,80.16,A,CAKE,"['CHOC', 'DRY', 'MIX', 'PUDDING-TYPE']"
5591,24.4,15.1,53.4,A,CAKE,"['CHOC', 'PREP', 'FROM', 'RECIPE', 'WO/FRSTNG']"
5592,20.7,10.3,63.2,A,CAKE,"['WHITE', 'PREP', 'FROM', 'RECIPE', 'W/COCNT', 'FRSTNG']"
5593,32.2,15.2,44.3,A,COFFEECAKE,['CHEESE']
5594,21.9,23.3,46.7,A,COFFEECAKE,"['CINN', 'W/CRUMB', 'TOPPING', 'COMMLY', 'PREP', 'ENR']"
5595,29.1,10.8,53.8,A,COFFEECAKE,"['CREME-FILLED', 'W/CHOC', 'FRSTNG']"
5596,31.7,10.2,51.5,A,COFFEECAKE,['FRUIT']
5597,3.3,12.0,77.7,A,COFFEECAKE,"['CINN', 'W/CRUMB', 'TOPPING', 'DRY', 'MIX']"
5598,30.5,9.6,52.8,A,COFFEECAKE,"['CINN', 'W/CRUMB', 'TOPPING', 'DRY', 'MIX', 'PREP']"
5599,25.3,9.1,61.6,A,CAKE,"['FRUITCAKE', 'COMMLY', 'PREP']"
5600,6.94,3.24,81.25,A,CAKE,"['MIX', 'PUDD', 'DRY', 'GERMAN', 'CHOC']"
5601,4.4,13.8,74.6,A,CAKE,"['GINGERBREAD', 'DRY', 'MIX']"
5602,28.0,16.4,49.2,A,CAKE,"['GINGERBREAD', 'PREP', 'FROM', 'RECIPE']"
5603,3.1,11.7,79.5,A,CAKE,"['MARBLE', 'DRY', 'MIX', 'PUDDING-TYPE']"
5604,32.3,12.1,50.5,A,CAKE,"['PNAPPL', 'UPSIDE-DOWN', 'PREP', 'FROM', 'RECIPE']"
5605,25.87,13.96,53.64,A,CAKE,"['POUND', 'COMMLY', 'PREP', 'BUTTER', '(INCLUDES', 'FRSH', '&', 'FROZEN)']"
5606,23.1,17.9,52.5,A,CAKE,"['POUND', 'COMMLY', 'PREP', 'OTHER', 'THAN', 'ALL', 'BUTTER', 'ENR']"
5607,28.4,14.2,48.5,A,CAKE,"['SHORTCAKE', 'BISCUIT-TYPE', 'PREP', 'FROM', 'RECIPE']"
5608,18.57,15.93,60.31,A,CAKE,"['SNACK', 'CAKES', 'CREME-FILLED', 'CHOC', 'W/', 'FRSTNG']"
5609,19.6,11.54,64.03,A,CAKE,"['SNACK', 'CAKES', 'CREME-FILLED', 'SPONGE']"
5610,6.0,8.4,79.6,A,CAKE,"['WHITE', 'DRY', 'MIX', 'SPL', 'DIETARY', '(INCL', 'LEMON-FLAVORED)']"
5611,29.7,2.7,61.0,A,CAKE,"['SPONGE', 'COMMLY', 'PREP']"
5612,29.4,4.3,57.7,A,CAKE,"['SPONGE', 'PREP', 'FROM', 'RECIPE']"
5613,3.5,9.5,80.9,A,CAKE,"['WHITE', 'DRY', 'MIX', 'PUDDING-TYPE', 'ENR']"
5614,23.3,12.4,57.2,A,CAKE,"['WHITE', 'PREP', 'FROM', 'RECIPE', 'WO/FRSTNG']"
5615,22.38,17.75,55.36,A,CAKE,"['YEL', 'COMMLY', 'PREP', 'W/', 'CHOC', 'FRSTNG', 'IN-STORE', 'BAKERY']"
5616,22.1,17.91,56.2,A,CAKE,"['YEL', 'COMMLY', 'PREP', 'W/VANILLA', 'FRSTNG']"
5617,4.0,9.8,80.0,A,CAKE,"['YEL', 'DRY', 'MIX', 'PUDDING-TYPE']"
5618,7.18,3.5,81.92,A,CAKE,"['YEL', 'DRY', 'MIX', 'REG', 'ENR']"
5619,25.1,14.6,53.0,A,CAKE,"['YEL', 'PREP', 'FROM', 'RECIPE', 'WO/FRSTNG']"
5620,45.6,22.5,25.5,A,CHEESECAKE,"['COMMLY', 'PREP']"
5621,44.2,12.7,35.5,A,CHEESECAKE,"['PREP', 'FROM', 'MIX', 'NO-BAKE', 'TYPE']"
5622,3.9,13.8,74.1,A,COOKIES,"['ANIMAL', 'CRACKERS', '(INCL', 'ARROWROOT', 'TEA', 'BISCUITS', ')']"
5623,13.6,16.3,63.9,A,COOKIES,"['BROWNIES', 'COMMLY', 'PREP']"
5624,2.8,14.9,76.6,A,COOKIES,"['BROWNIES', 'DRY', 'MIX', 'REG']"
5625,12.6,29.1,50.2,A,COOKIES,"['BROWNIES', 'PREP', 'FROM', 'RECIPE']"
5626,4.6,18.8,68.9,A,COOKIES,"['BUTTER', 'COMMLY', 'PREP', 'ENR']"
