,Water_(g),Lipid_Tot_(g),Carbohydrt_(g),A,0,1
92,82.34,1.0,12.6,A,MILK,"['CHOC', 'FLUID', 'COMM', 'LOWFAT', 'W/', 'ADDED', 'VIT', 'A', '&', 'VITAMIN', 'D']"
93,82.45,2.34,10.74,A,MILK,"['CHOC', 'BEV', 'HOT', 'COCOA', 'HOMEMADE']"
94,87.03,4.14,4.45,A,MILK,"['GOAT', 'FLUID', 'W/', 'ADDED', 'VITAMIN', 'D']"
95,87.5,4.38,6.89,A,MILK,"['HUMAN', 'MATURE', 'FLUID']"
96,83.39,6.89,5.18,A,MILK,"['INDIAN', 'BUFFALO', 'FLUID']"
97,80.7,7.0,5.36,A,MILK,"['SHEEP', 'FLUID']"
98,72.2,2.7,21.15,A,MILK,"['SHAKES', 'THICK', 'CHOC']"
99,74.45,3.03,17.75,A,MILK,"['SHAKES', 'THICK', 'VANILLA']"
100,93.42,0.09,5.12,A,WHEY,"['ACID', 'FLUID']"
101,3.51,0.54,73.45,A,WHEY,"['ACID', 'DRIED']"
102,93.12,0.36,5.14,A,WHEY,"['SWEET', 'FLUID']"
103,3.19,1.07,74.46,A,WHEY,"['SWEET', 'DRIED']"
104,87.9,3.25,4.66,A,YOGURT,"['PLN', 'WHL', 'MILK', '8', 'GRAMS', 'PROT', 'PER', '8', 'OZ']"
105,85.07,1.55,7.04,A,YOGURT,"['PLN', 'LOFAT', '12', 'GRAMS', 'PROT', 'PER', '8', 'OZ']"
106,85.23,0.18,7.68,A,YOGURT,"['PLN', 'SKIM', 'MILK', '13', 'GRAMS', 'PROT', 'PER', '8', 'OZ']"
107,79.0,1.25,13.8,A,YOGURT,"['VANILLA', 'LOFAT', '11', 'GRAMS', 'PROT', 'PER', '8', 'OZ']"
108,75.3,1.15,18.64,A,YOGURT,"['FRUIT', 'LOFAT', '9', 'GRAMS', 'PROT', 'PER', '8', 'OZ']"
109,74.48,1.08,19.05,A,YOGURT,"['FRUIT', 'LOFAT', '10', 'GRAMS', 'PROT', 'PER', '8', 'OZ']"
110,74.1,1.41,18.6,A,YOGURT,"['FRUIT', 'LOFAT', '11', 'GRAMS', 'PROT', 'PER', '8', 'OZ']"
111,76.15,9.51,0.72,A,EGG,"['WHL', 'RAW', 'FRSH']"
112,87.57,0.17,0.73,A,EGG,"['WHITE', 'RAW', 'FRESH']"
113,52.31,26.54,3.59,A,EGG,"['YOLK', 'RAW', 'FRSH']"
114,56.77,25.24,1.3,A,EGG,"['YOLK', 'RAW', 'FRZ', 'PAST']"
115,51.23,22.82,10.95,A,EGG,"['YOLK', 'RAW', 'FRZ', 'SUGARED', 'PAST']"
116,69.47,14.84,0.83,A,EGG,"['WHL', 'CKD', 'FRIED']"
117,74.62,10.61,1.12,A,EGG,"['WHL', 'CKD', 'HARD-BOILED']"
118,76.13,11.66,0.64,A,EGG,"['WHOLE', 'COOKED', 'OMELET']"
119,75.85,9.47,0.71,A,EGG,"['WHL', 'CKD', 'POACHED']"
120,76.4,10.98,1.61,A,EGG,"['WHL', 'CKD', 'SCRMBLD']"
121,3.67,43.04,1.53,A,EGG,"['WHOLE', 'DRIED']"
122,1.87,43.95,2.38,A,EGG,"['WHL', 'DRIED', 'STABILIZED', 'GLUCOSE', 'RED']"
123,14.62,0.04,4.17,A,EGG,"['WHITE', 'DRIED', 'FLAKES', 'STABILIZED', 'GLUCOSE', 'RED']"
124,8.54,0.04,4.47,A,EGG,"['WHITE', 'DRIED', 'PDR', 'STABILIZED', 'GLUCOSE', 'RED']"
125,2.73,58.13,2.1,A,EGG,"['YOLK', 'DRIED']"
126,70.83,13.77,1.45,A,EGG,"['DUCK', 'WHOLE', 'FRESH', 'RAW']"
127,70.43,13.27,1.35,A,EGG,"['GOOSE', 'WHOLE', 'FRESH', 'RAW']"
128,74.35,11.09,0.41,A,EGG,"['QUAIL', 'WHOLE', 'FRESH', 'RAW']"
129,72.5,11.88,1.15,A,EGG,"['TURKEY', 'WHL', 'FRSH', 'RAW']"
130,3.86,13.0,21.8,A,EGG,"['SUBSTITUTE', 'POWDER']"
131,17.94,81.11,0.06,A,BUTTER,"['WITHOUT', 'SALT']"
132,25.0,27.34,3.41,A,CHEESE,"['PARMESAN', 'SHREDDED']"
133,90.84,0.08,4.96,A,MILK,"['NONFAT', 'FLUID', 'WO/', 'ADDED', 'VIT', 'A', '&', 'VIT', 'D', '(FAT', 'FREE', 'OR', 'SKIM)']"
134,87.71,1.98,5.49,A,MILK,"['RED', 'FAT', 'FLUID', '2%', 'MILKFAT', 'W/', 'NONFAT', 'MILK', 'SOL', 'WO/', 'VIT', 'A']"
135,74.04,7.56,10.04,A,MILK,"['CND', 'EVAP', 'W/', 'VIT', 'A']"
136,3.16,0.77,51.98,A,MILK,"['DRY', 'NONFAT', 'REG', 'W/', 'ADDED', 'VIT', 'A', '&', 'VITAMIN', 'D']"
137,3.96,0.72,52.19,A,MILK,"['DRY', 'NONFAT', 'INST', 'WO/', 'ADDED', 'VIT', 'A', '&', 'VITAMIN', 'D']"
138,29.01,35.59,2.17,A,CHEESE,"['GOAT', 'HARD', 'TYPE']"
139,45.52,29.84,0.12,A,CHEESE,"['GOAT', 'SEMISOFT', 'TYPE']"
140,60.75,21.08,0.0,A,CHEESE,"['GOAT', 'SOFT', 'TYPE']"
141,50.87,22.93,1.77,A,EGG,"['YOLK', 'RAW', 'FRZ', 'SALTED', 'PAST']"
142,47.36,12.22,23.67,A,CHEESE,"['SUB', 'MOZZARELLA']"
143,66.86,14.92,5.48,A,CHEESE,"['SAU', 'PREP', 'FROM', 'RECIPE']"
144,38.06,29.98,4.63,A,CHEESE,"['MEXICAN', 'QUESO', 'ANEJO']"
145,42.16,28.26,2.87,A,CHEESE,"['MEXICAN', 'QUESO', 'ASADERO']"
146,39.13,29.68,5.56,A,CHEESE,"['MEXICAN', 'QUESO', 'CHIHUAHUA']"
147,63.1,7.0,1.91,A,CHEESE,"['LOFAT', 'CHEDDAR', 'OR', 'COLBY']"
